CI_ID,Data_Year,year,treatment,CI_Start_Year,CI_End_Year,forest_loss_ha,Emissions_MgCO2e,n_pixels
BOL1078,2024,2011,TRUE,1999,2099,-23777.37770216615,591595.0957479908,572
BOL1078,2024,2012,FALSE,1999,2099,-17220.014237517244,427940.98396780685,572
BOL1078,2024,2012,TRUE,1999,2099,-12072.22589063311,301164.2680558156,572
BOL1078,2024,2013,FALSE,1999,2099,-6142.960797076459,133382.50876530405,572
BOL1078,2024,2013,TRUE,1999,2099,-1095.144496677639,18726.02499759319,572
BOL1078,2024,2014,FALSE,1999,2099,-64676.51776015009,1757946.014149372,572
BOL1078,2024,2014,TRUE,1999,2099,-200380.73505205545,4761006.690314276,572
BOL1078,2024,2015,FALSE,1999,2099,-7301.244689221149,195128.90652572637,572
BOL1078,2024,2015,TRUE,1999,2099,-11865.79800170952,274798.90172676987,572
BOL1078,2024,2016,FALSE,1999,2099,-6219.001485837924,77604.18614344117,572
BOL1078,2024,2016,TRUE,1999,2099,-5343.338903093672,96642.88377117671,572
BOL1078,2024,2017,FALSE,1999,2099,-12620.95083815568,298565.0505824406,572
BOL1078,2024,2017,TRUE,1999,2099,-12116.465084249325,281832.47128897836,572
BOL1078,2024,2018,FALSE,1999,2099,-8730.907839154865,192123.29888628557,572
BOL1078,2024,2018,TRUE,1999,2099,-2715.7210099013537,58488.07247439514,572
BOL1078,2024,2019,FALSE,1999,2099,-7526.3322859010505,123775.70145892503,572
BOL1078,2024,2019,TRUE,1999,2099,-11818.894756150414,198581.0820728223,572
BOL1078,2024,2020,FALSE,1999,2099,-11840.375970520341,194918.51981637487,572
BOL1078,2024,2020,TRUE,1999,2099,-7267.367157122472,102660.2750134826,572
BOL1078,2024,2021,FALSE,1999,2099,-8095.204337780293,156756.01267583357,572
BOL1078,2024,2021,TRUE,1999,2099,-8178.840169133007,164942.72916394437,572
BOL1078,2024,2022,FALSE,1999,2099,-7344.078149055268,140221.38602488136,572
BOL1078,2024,2022,TRUE,1999,2099,-3799.2433205051025,82294.23591699247,572
BOL1078,2024,2023,FALSE,1999,2099,-16613.040381858402,294505.88498993736,572
BOL1078,2024,2023,TRUE,1999,2099,-6461.4822839790295,109847.61623195742,572
BOL1080,2024,2000,FALSE,1995,2023,0,0,2040
BOL1080,2024,2000,TRUE,1995,2023,0,0,2040
BOL1080,2024,2001,FALSE,1995,2023,-4746.801074551133,114948.62251003076,2040
BOL1080,2024,2001,TRUE,1995,2023,-3819.0626766204828,85245.10145547912,2040
BOL1080,2024,2002,FALSE,1995,2023,-1840.5255643437888,35495.333661875135,2040
BOL1080,2024,2002,TRUE,1995,2023,-2779.370421573695,62472.31956577641,2040
BOL1080,2024,2003,FALSE,1995,2023,-2659.731129734656,60618.16207309135,2040
BOL1080,2024,2003,TRUE,1995,2023,-5489.412846667976,127590.14498825194,2040
BOL1080,2024,2004,FALSE,1995,2023,-3264.7657191486915,87000.3781137041,2040
BOL1080,2024,2004,TRUE,1995,2023,-3692.4100690771547,101715.33305330398,2040
BOL1080,2024,2005,FALSE,1995,2023,-3514.7205836169856,85494.21447856499,2040
BOL1080,2024,2005,TRUE,1995,2023,-4849.500570053212,101935.28356509787,2040
BOL1080,2024,2006,FALSE,1995,2023,-8857.568323788922,220862.74267998122,2040
BOL1080,2024,2006,TRUE,1995,2023,-6531.670585964707,134648.5773999987,2040
BOL1080,2024,2007,FALSE,1995,2023,-4731.790417131255,119653.00746513258,2040
BOL1080,2024,2007,TRUE,1995,2023,-5059.96860761993,113411.39551370806,2040
BOL1080,2024,2008,FALSE,1995,2023,-2111.3966632113734,52309.58368386921,2040
BOL1080,2024,2008,TRUE,1995,2023,-2370.529673780413,64574.55236232742,2040
BOL1080,2024,2009,FALSE,1995,2023,-5475.659536552428,134673.95976023027,2040
BOL1080,2024,2009,TRUE,1995,2023,-5485.079752833351,95137.94358816574,2040
BOL1080,2024,2010,FALSE,1995,2023,-7481.471672886609,170036.22658551976,2040
BOL1080,2024,2010,TRUE,1995,2023,-7425.69909824799,131604.56330531265,2040
BOL1080,2024,2011,FALSE,1995,2023,-6271.42933189939,160063.0606381511,2040
BOL1080,2024,2011,TRUE,1995,2023,-10703.613379080505,249019.9794671256,2040
BOL1080,2024,2012,FALSE,1995,2023,-15808.819943946948,427557.1070281766,2040
BOL1080,2024,2012,TRUE,1995,2023,-10021.858997799718,232200.22538878897,2040
BOL1080,2024,2013,FALSE,1995,2023,-5408.198062992095,116711.75064758494,2040
BOL1080,2024,2013,TRUE,1995,2023,-4625.853482808786,104706.24323336272,2040
BOL1080,2024,2014,FALSE,1995,2023,-63738.20409094585,1656221.421524017,2040
BOL1080,2024,2014,TRUE,1995,2023,-135513.61701746582,3037435.6482598786,2040
BOL1080,2024,2015,FALSE,1995,2023,-3922.0503732418306,101307.42377353908,2040
BOL1080,2024,2015,TRUE,1995,2023,-15283.349306195973,365682.8187397875,2040
BOL1080,2024,2016,FALSE,1995,2023,-7068.238552415721,155577.55505266442,2040
BOL1080,2024,2016,TRUE,1995,2023,-3290.296695416464,54075.91575763114,2040
BOL1080,2024,2017,FALSE,1995,2023,-13247.974367303706,303828.6563291092,2040
BOL1080,2024,2017,TRUE,1995,2023,-13788.034170902474,311683.73153520026,2040
BOL1080,2024,2018,FALSE,1995,2023,-6107.579511713279,132762.2817090522,2040
BOL1080,2024,2018,TRUE,1995,2023,-3602.6020063964756,68885.06429959075,2040
BOL1080,2024,2019,FALSE,1995,2023,-13262.806201008836,315460.94087745395,2040
BOL1080,2024,2019,TRUE,1995,2023,-5838.099100285066,100713.85155737594,2040
BOL1080,2024,2020,FALSE,1995,2023,-9903.244940893088,180117.96543544452,2040
BOL1080,2024,2020,TRUE,1995,2023,-3646.2898906592054,58887.93490366069,2040
BOL1080,2024,2021,FALSE,1995,2023,-9827.091243693758,236178.05781313367,2040
BOL1080,2024,2021,TRUE,1995,2023,-9520.24672510694,182812.61845515764,2040
BOL1080,2024,2022,FALSE,1995,2023,-7295.317325545057,159317.52049758163,2040
BOL1080,2024,2022,TRUE,1995,2023,-10829.806866976967,178397.11534666736,2040
BOL1080,2024,2023,FALSE,1995,2023,-50078.596404087184,664487.6221074063,2040
BOL1080,2024,2023,TRUE,1995,2023,-22781.148807415364,342640.4950590714,2040
BOL1082,2024,2023,FALSE,2023,2099,-1299.5457827169396,47552.837033141026,738
BOL1082,2024,2023,TRUE,2023,2099,-654.4281808086204,24439.493950960237,738
BOL1084,2024,2023,FALSE,2023,2099,-27.660057067871094,1656.6297999557496,49
BOL1084,2024,2023,TRUE,2023,2099,0,0,49
BOL1092,2024,2023,FALSE,2023,2099,0,0,7
BOL1092,2024,2023,TRUE,2023,2099,0,0,7
BOL1093,2024,2023,FALSE,2023,2099,0,0,14
BOL1093,2024,2023,TRUE,2023,2099,0,0,14
BOL1094,2024,2023,FALSE,2023,2099,0,0,6
BOL1094,2024,2023,TRUE,2023,2099,0,0,6
BOL1103,2024,2022,FALSE,2022,2099,0,0,18
BOL1103,2024,2022,TRUE,2022,2099,0,0,18
BOL1103,2024,2023,FALSE,2022,2099,0,0,18
BOL1103,2024,2023,TRUE,2022,2099,0,0,18
BOL1107,2024,2023,FALSE,2023,2099,0,0,30
BOL1107,2024,2023,TRUE,2023,2099,-21531.21735712687,537688.090547862,30
BOL1124,2024,2023,FALSE,2023,2099,0,0,223
BOL1124,2024,2023,TRUE,2023,2099,0,0,223
BRA1001,2024,2018,FALSE,2018,2099,-4375.0700157249985,160349.2374804824,2676
BRA1001,2024,2018,TRUE,2018,2099,-1516.179572734063,64094.80035715546,2676
BRA1001,2024,2019,FALSE,2018,2099,-2301.660903733764,70970.1428845375,2676
BRA1001,2024,2019,TRUE,2018,2099,-2968.9351566294026,151862.3823893852,2676
BRA1001,2024,2020,FALSE,2018,2099,-3916.587361336467,158935.15850017697,2676
BRA1001,2024,2020,TRUE,2018,2099,-2382.153734115742,116497.34481077331,2676
BRA1001,2024,2021,FALSE,2018,2099,-3230.6334101357265,148789.78074831283,2676
BRA1001,2024,2021,TRUE,2018,2099,-8262.385635729952,331408.34672005853,2676
BRA1001,2024,2022,FALSE,2018,2099,-6519.139023558263,262613.71408316557,2676
BRA1001,2024,2022,TRUE,2018,2099,-5335.297941047871,241243.9816145115,2676
BRA1001,2024,2023,FALSE,2018,2099,-4234.930834811543,157875.24529205414,2676
BRA1001,2024,2023,TRUE,2018,2099,-2279.856305421735,106380.67842181864,2676
BRA1002,2024,2018,FALSE,2018,2099,-200,4583.83,9
BRA1002,2024,2018,TRUE,2018,2099,-208.734787940979,1625.81,9
BRA1002,2024,2019,FALSE,2018,2099,-55.56267166137695,2533.7493776097317,9
BRA1002,2024,2019,TRUE,2018,2099,0,0,9
BRA1002,2024,2020,FALSE,2018,2099,0,0,9
BRA1002,2024,2020,TRUE,2018,2099,0,0,9
BRA1002,2024,2021,FALSE,2018,2099,-156.5958480834961,3747.3637738995008,9
BRA1002,2024,2021,TRUE,2018,2099,0,0,9
BRA1002,2024,2022,FALSE,2018,2099,0,0,9
BRA1002,2024,2022,TRUE,2018,2099,0,0,9
BRA1002,2024,2023,FALSE,2018,2099,0,0,9
BRA1002,2024,2023,TRUE,2018,2099,0,0,9
BRA1004,2024,2018,FALSE,2018,2099,-2269.496609500408,62311.50033549999,1000
BRA1004,2024,2018,TRUE,2018,2099,-1896.7243930697439,50644.95707524235,1000
BRA1004,2024,2019,FALSE,2018,2099,-4296.6339479923245,70529.9764465216,1000
BRA1004,2024,2019,TRUE,2018,2099,-10693.167693200587,297311.5546827133,1000
BRA1004,2024,2020,FALSE,2018,2099,-4154.484350075245,48294.895845737454,1000
BRA1004,2024,2020,TRUE,2018,2099,-3181.1768916301726,84828.78765637333,1000
BRA1004,2024,2021,FALSE,2018,2099,-6772.076575896739,123571.91181975967,1000
BRA1004,2024,2021,TRUE,2018,2099,-7462.560868114471,196706.70630283974,1000
BRA1004,2024,2022,FALSE,2018,2099,-4814.606352639198,115733.99904667212,1000
BRA1004,2024,2022,TRUE,2018,2099,-2234.919134372234,80231.76913221521,1000
BRA1004,2024,2023,FALSE,2018,2099,-1612.8584466056823,34077.91262262598,1000
BRA1004,2024,2023,TRUE,2018,2099,-2199.746004538059,78706.08921942176,1000
BRA1006,2024,2018,FALSE,2018,2099,-1336.4070621800422,35741.5602442451,1000
BRA1006,2024,2018,TRUE,2018,2099,-776.3215708792209,28166.809924955407,1000
BRA1006,2024,2019,FALSE,2018,2099,-1217.6398497426508,28739.792163221748,1000
BRA1006,2024,2019,TRUE,2018,2099,-1502.561274949312,42093.509052488545,1000
BRA1006,2024,2020,FALSE,2018,2099,-2187.2562927281856,48450.03754990146,1000
BRA1006,2024,2020,TRUE,2018,2099,-1695.023369066715,45445.42782829523,1000
BRA1006,2024,2021,FALSE,2018,2099,-742.0629042768478,33440.36615702526,1000
BRA1006,2024,2021,TRUE,2018,2099,-971.385483983755,33929.724272085354,1000
BRA1006,2024,2022,FALSE,2018,2099,-1132.2569157791136,27673.767775476506,1000
BRA1006,2024,2022,TRUE,2018,2099,-649.5777819764613,22338.10256572643,1000
BRA1006,2024,2023,FALSE,2018,2099,-846.9085714054107,23779.559625620936,1000
BRA1006,2024,2023,TRUE,2018,2099,-4106.786073360443,109195.50127977392,1000
