ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
IDN1049,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,187.96963500976565,84.74886322021484,84.74886322021484,0.01541151582065358,0
IDN1050,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,71318.8828125,23794.46875,24055.505859375,0.7418529890268114,0
IDN1050,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,13474.001953125,4908.181640625,5182.10546875,0.14015542909383505,0
IDN1050,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,1933.2633056640625,744.894287109375,843.98077392578125,0.02010964144872118,0
IDN1050,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,534.3514404296875,101.67491149902344,101.67491149902344,0.00555827850410561,0
IDN1050,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Mangroves,161.66368103027344,72.509307861328125,72.509307861328125,0.00168161194146419,161.66368103027344
IDN1051,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,798.040771484375,629.718505859375,764.34320068359375,0.0716098353043913,0
IDN1051,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,122.6337890625,33.17426681518555,76.80171966552734,0.01100418142945849,0
IDN1052,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,1447.78662109375,1528.0115966796875,1870.858154296875,0.01308477000302539,0
IDN1052,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,316.47222900390625,245.1150054931641,384.0139770507813,0.00286020485928551,0
IDN1052,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,22.245420455932617,7.958817481994629,7.958817481994629,2.0104910906455065e-4,0
BOL1002,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,16.183881759643555,0,743.70562744140625,1.3379734410202222e-5,0
BOL1002,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,32.533973693847656,0,1353.1514892578125,2.68968801055906e-5,0
BOL1002,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,676.44061279296875,0,24788.537109375,5.592351623584586e-4,0
GUY1001,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,5343.68701171875,5645.052734375,6838.03759765625,0.7576710193312071,0
GUY1001,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,6.6024065017700195,7.868886470794678,7.868886470794678,9.361424150150748e-4,0
GUY1001,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,7.968819618225098,8.866351127624512,8.866351127624512,0.00112988348115567,0
GUY1002,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,896.09600830078125,1017.6619262695312,2398.78125,0.15673275351356503,0
GUY1002,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,853.9540405273436,1081.3935546875,2075.8603515625,0.14936186179389818,0
GUY1002,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,128.6026611328125,98.4837646484375,224.0955810546875,0.02249340361055602,0
GUY1003,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Rupununi Landscape,Rupununi Landscape,Primary forest,11507.7998046875,18242.380859375,19698.1953125,0.20413604063718055,0
GUY1003,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Rupununi Landscape,Rupununi Landscape,Secondary forest,2176.349609375,3138.653564453125,4231.7138671875,0.03860611062412824,0
GUY1003,Terrestrial,Americas Field Division,Americas Field Division,Guyana,NA,Continued this year,Rupununi Landscape,Rupununi Landscape,Grassland,1278.6669921875,1585.7314453125,4666.6533203125,0.02268218265078666,0
CHN1010,Terrestrial,Asia-Pacific Field Division,NA,China,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,62.055320739746094,8.679448127746582,93.457122802734375,0.00533229424004747,0
CHN1010,Terrestrial,Asia-Pacific Field Division,NA,China,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,39.81604766845703,0,106.25904846191406,0.00342131632087408,0
PHL1095,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,2649.318115234375,4080.560302734375,13222.9873046875,0.0219015352400375,0
PHL1095,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Secondary forest,13539.7548828125,21704.783203125,63277.68359375,0.1119312237372272,0
PHL1095,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Grassland,1323.774169921875,729.76483154296875,3933.337890625,0.01094345237956842,0
PHL1095,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Wetlands,54.06379318237305,98.00664520263672,98.00664520263672,4.4693767229576046e-4,0
PHL1096,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,1746.1033935546875,978.34259033203125,17949.27734375,0.04229202911618496,0
PHL1096,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Secondary forest,403.2783203125,257.9892578125,4483.98193359375,0.00976772539789937,0
PHL1096,Terrestrial,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Grassland,2.9786648750305176,0,101.72335052490234,7.214565992320352e-5,0
PHL1097,Terrestrial + Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Primary forest,826.35400390625,682.5645751953125,4193.8681640625,0.00901454345740783,0
PHL1097,Terrestrial + Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Secondary forest,4512.9541015625,2988.30810546875,8367.2119140625,0.04923098415148178,0
PHL1097,Terrestrial + Marine,Asia-Pacific Field Division,NA,Philippines,NA,Continued this year,Not Applicable,Not Applicable,Grassland,1301.4056396484375,1063.447509765625,1258.485595703125,0.01419679415706859,0
