n_overlaps,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
2,BRA1016,BRA1019,NA,NA,NA,Primary forest,23597.44921875,34677.80078125,39469.5,0.596446902009858,0
2,BRA1016,BRA1019,NA,NA,NA,Secondary forest,0.20288874208927155,0.3642054498195648,0.3642054498195648,5.128196719485655e-6,0
2,BRA1017,BRA1025,NA,NA,NA,Primary forest,2.635704755783081,4.7400031089782715,5.199612617492676,0.35504611326783153,0
2,BRA1017,BRA1025,NA,NA,NA,Secondary forest,0.7645907402038574,1.2076069116592407,2.224628210067749,0.10299521217402072,0
2,BRA1025,BRA1027,NA,NA,NA,Primary forest,17565.822265625,25492.681640625,31446.58203125,0.4934092231163821,0
2,BRA1025,BRA1027,NA,NA,NA,Secondary forest,1352.896484375,1836.351806640625,2079.986572265625,0.038001728197982663,0
2,BRA1025,BRA1027,NA,NA,NA,Grassland,398.4789123535156,342.6015625,508.2486267089844,0.011192938628177192,0
2,BRA1025,BRA1027,NA,NA,NA,Wetlands,97.9736557006836,110.6410903930664,110.6410903930664,0.0027519978634729853,0
2,BRA1001,BRA1028,NA,NA,NA,Primary forest,0.6724728941917419,0.645389199256897,1.1577141284942627,0.5808870085874785,0
2,BRA1026,BRA1031,NA,NA,NA,Primary forest,16.788631439208984,15.07951545715332,16.198759078979492,0.8910325612561215,0
2,BRA1026,BRA1031,NA,NA,NA,Secondary forest,0.46884995698928833,0.9501253962516785,0.9501253962516785,0.024883539765208594,0
2,BRA1026,BRA1031,NA,NA,NA,Grassland,0.40609806776046753,0.9177746176719666,0.9177746176719666,0.021553073146432726,0
2,BRA1026,BRA1031,NA,NA,NA,Wetlands,0.05094587057828903,0,0.20644980669021606,0.002703879092894934,0
2,BRA1020,BRA1032,NA,NA,NA,Primary forest,11.797600746154785,14.440816879272461,23.72517204284668,0.3923862475390538,0
2,BRA1020,BRA1032,NA,NA,NA,Secondary forest,1.9872231483459473,2.8988707065582275,5.350942611694336,0.0660947128979898,0
2,BRA1005,BRA1042,NA,NA,NA,Primary forest,7423.96142578125,5048.36328125,5887.68408203125,0.7486267666472537,0
2,BRA1005,BRA1042,NA,NA,NA,Secondary forest,1393.6807861328125,964.60986328125,1109.0772705078125,0.1405377373106724,0
2,BRA1005,BRA1042,NA,NA,NA,Grassland,301.1297912597656,216.12551879882813,290.8540954589844,0.03036570491720161,0
2,BRA1005,BRA1042,NA,NA,NA,Wetlands,199.44363403320312,205.34786987304687,205.34786987304687,0.020111748204422106,0
2,BRA1005,BRA1042,NA,NA,NA,Mangroves,40.552738189697266,36.50046157836914,36.50046157836914,0.0040893080565071625,40.552738189697266
2,BRA1011,BRA1044,NA,NA,NA,Primary forest,45.79236602783203,27.29343032836914,55.100284576416016,0.13459199393563764,0
2,BRA1011,BRA1044,NA,NA,NA,Secondary forest,4.223736763000488,6.515578269958496,6.515578269958496,0.012414321471093583,0
2,BRA1011,BRA1044,NA,NA,NA,Grassland,14.444025039672852,0,47.91405487060547,0.04245358559032039,0
2,BRA1011,BRA1044,NA,NA,NA,Wetlands,36.95777893066406,0,57.32438659667969,0.10862555463256265,0
2,BRA1011,BRA1044,NA,NA,NA,Mangroves,15.638346672058105,19.874753952026367,19.874753952026367,0.04596391152118619,15.638346672058105
2,BRA1060,BRA1061,NA,NA,NA,Grassland,3.799684524536133,10.496881484985352,10.496881484985352,0.1972582472552767,0
2,BRA1030,BRA1067,NA,NA,NA,Primary forest,37.90085983276367,68.89324951171875,97.48304748535156,0.38862229562169565,0
